id,name,role,public,legacySource,hasImage,tapeLinks,notes
r-title,'+r.title+',DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
acid-house-and-early-rave,Acid house & early rave,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
aubrey,Aubrey,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
bass-generator,Bass Generator,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
brisk,Brisk,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
carl-cox,Carl Cox,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
clarkee,Clarkee,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
colin-dale,Colin Dale,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
complete-exhibits,COMPLETE EXHIBITS,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
criminal,Criminal,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
d-m-s,D.M.S.,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
da-posse,Da Posse,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
dj-directory,DJ DIRECTORY,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
dj-hype,DJ Hype,DJ,True,,True,1,
dj-lime,DJ Lime,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
dj-seduction,DJ Seduction,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
dj-ss,DJ SS,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
dougal,Dougal,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
dr-s-gachet,Dr S Gachet,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
drum-and-bass-and-happy-hardcore,Drum & bass & happy hardcore,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
easy-d,Easy D,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
easygroove,Easygroove,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
eddie-richards,Eddie Richards,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
ellis-dee,Ellis Dee,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
evil-o,Evil O,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
fabio,Fabio,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
face,Face,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
follow-the-connections,Follow the connections,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
force-and-styles,Force & Styles,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
frankie-bones,Frankie Bones,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
frankie-valentine,Frankie Valentine,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
grooverider,Grooverider,DJ,True,,True,2,
hardcore-and-jungle,Hardcore & jungle,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
hixxy,Hixxy,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
hypa-hyper,Hypa Hyper,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
jumping-jack-frost,Jumping Jack Frost,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
kenny-ken,Kenny Ken,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
krome,Krome,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
linked-flyers,Linked Flyers,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
ltj-bukem,LTJ Bukem,DJ,True,,True,1,
m-zone,M-Zone,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
man-parris,Man Parris,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mc-det,MC Det,MC,True,,True,1,
mc-energy,MC Energy,MC,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mc-fearless,MC Fearless,MC,False,,False,0,Staged: add verified photo and profile data before publication.
mc-gq,MC GQ,MC,False,,False,0,Staged: add verified photo and profile data before publication.
mc-magika,MC Magika,MC,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mc-ribbz,MC Ribbz,MC,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mc-sharkey,MC Sharkey,MC,False,,False,0,Staged: add verified photo and profile data before publication.
mc-storm,MC Storm,MC,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mc-whizzkid,MC Whizzkid,MC,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
mickey-finn,Mickey Finn,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
mikey-b,Mikey B,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
moose,Moose,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
new-generations,New generations,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
nexus-21,Nexus 21,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
nicky-b,Nicky B,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
nicky-blackmarket,Nicky Blackmarket,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
paul-trouble-anderson,Paul Trouble Anderson,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
pilgrim,Pilgrim,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
quadrophonia,Quadrophonia,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
randall,Randall,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
rap,Rap,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
rat-pack,Rat Pack,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
ratty,Ratty,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
ray-keith,Ray Keith,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
rhythm-doctor,Rhythm Doctor,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
richie-fingers,Richie Fingers,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
roni-size,Roni Size,DJ,True,,True,1,
seduction,Seduction,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
shy-fx,Shy FX,DJ,True,,True,1,
simon-bassline-smith,Simon Bassline Smith,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
slipmatt,Slipmatt,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
spice,Spice,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
stacey,Stacey,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
stuart-banks,Stuart Banks,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
swane,Swane,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
swanee,Swanee,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
sy,Sy,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
t99,T99,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
the-prodigy,The Prodigy,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
vibes,Vibes,DJ,False,,False,0,Staged: add verified photo and profile data before publication.
zero-b,Zero B,DJ,False,Older site People/DJ index,False,0,Staged: add verified photo and profile data before publication.
